,length
0,[1.78449824 1.78449824 1.78449824 1.78449824]
1,[1.78449824 1.78449824 1.78449824 1.78449824]
2,[1.78449824 1.78449824 1.78449824 1.78449824]
3,[1.78449824 1.78449824 1.78449824 1.78449824]
4,[1.78449824 1.78449824 1.78449824 1.78449824]
5,[1.78449824 1.78449824 1.78449824 1.78449824]
6,[1.78449824 1.78449824 1.78449824 1.78449824]
7,[1.78449824 1.78449824 1.78449824 1.78449824]
8,[1.78449824 1.78449824 1.78449824 1.78449824]
9,[1.78449824 1.78449824 1.78449824 1.78449824]
10,[1.78449824 1.78449824 1.78449824 1.78449824]
11,[1.78449824 1.78449824 1.78449824 1.78449824]
12,[1.94218133 1.94218133 1.94218133 1.94218133 1.94218133 1.94218133]
13,[1.94218133 1.94218133 1.94218133 1.94218133 1.94218133 1.94218133]
14,[1.94218133 1.94218133 1.94218133 1.94218133 1.94218133 1.94218133]
15,[1.94218133 1.94218133 1.94218133 1.94218133 1.94218133 1.94218133]
16,[1.94218133 1.94218133 1.94218133 1.94218133 1.94218133 1.94218133]
17,[1.94218133 1.94218133 1.94218133 1.94218133 1.94218133 1.94218133]
18,[1.94218133 1.94218133 1.94218133 1.94218133 1.94218133 1.94218133]
19,[1.94218133 1.94218133 1.94218133 1.94218133 1.94218133 1.94218133]
