,length
0,[2.0078722  2.00788028 2.029631   2.0557653  2.04290781 2.04291228]
1,[2.0557653  2.04290781 2.04291228 2.0078722  2.00788028 2.029631  ]
2,[2.00974658 2.0097505  2.03138504 2.05557048 2.04058698 2.04059122]
3,[2.0078716  2.04291249 2.0078716  2.02962635 2.05576504 2.04291249]
4,[2.05557048 2.04058698 2.04059122 2.00974658 2.0097505  2.03138504]
5,[2.0136341  2.0427204  2.0136341  2.0427282  2.01362985 2.0427204 ]
6,[1.93460227 1.93460685 1.93460227 2.05287009]
7,[2.01864342 2.01863913 2.03820049 2.02875275 2.04582972 2.04582997]
8,[2.00974625 2.04059162 2.00974625 2.03138479 2.05557904 2.04059162]
9,[2.02875275 2.04582972 2.04582997 2.01864342 2.01863913 2.03820049]
10,[2.01864378 2.04582995 2.01864378 2.03819584 2.0287525  2.04582995]
11,[1.93397943 1.9339743  1.93397943 2.0489419 ]
