,angle
0,88.83093641282761
1,96.70379063876848
2,79.76218417385873
3,93.02042857406809
4,164.78144263057763
5,88.29286185317092
6,83.13829614484449
7,170.77323501763772
8,79.76218417385873
9,170.77323501763775
10,100.45306627002216
11,93.0204285740681
12,88.29286185317092
13,88.83093641282761
14,96.70379063876848
15,88.29286185317092
16,96.70379063876847
17,93.02042857406809
18,100.45306627002215
19,170.77323501763775
20,88.83093641282763
21,79.76218417385873
22,170.77323501763777
23,83.13829614484449
24,164.78144263057763
25,93.02042857406809
26,79.76218417385873
27,96.70379063876847
28,88.83093641282763
29,88.29286185317092
30,96.70379063876848
31,88.83093641282763
32,93.02042857406809
33,79.76218417385873
34,164.78144263057763
35,88.29286185317092
36,100.45306627002213
37,170.77323501763775
38,93.02042857406809
39,170.77323501763772
40,83.1382961448445
41,79.76218417385873
42,88.29286185317092
43,96.70379063876847
44,88.83093641282761
45,88.29286185317092
46,88.83093641282763
47,79.76218417385873
48,83.1382961448445
49,170.77323501763772
50,96.70379063876847
51,93.02042857406809
52,170.77323501763766
53,100.45306627002212
54,164.78144263057757
55,79.76218417385873
56,93.02042857406809
57,88.83093641282763
58,96.70379063876847
59,88.29286185317092
