,energy,energy_per_atom,volume,formation_energy_per_atom,nsites,unit_cell_formula,pretty_formula,is_hubbard,elements,nelements,e_above_hull,hubbards,is_compatible,spacegroup,task_ids,band_gap,density,total_magnetization,material_id,oxide_type,tags,elasticity
0,-17.59223371,-3.5184467419999996,88.80322453117067,-0.5561796416999997,5,"{'K': 2.0, 'Cu': 1.0, 'O': 2.0}",K2CuO2,False,"['Cu', 'K', 'O']",3,0.7808953656250015,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4/mmm', 'number': 139, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': '-I 4 2'}","['mp-1021659', 'mp-1388514', 'mp-1585874', 'mp-1712015']",0.0,3.248805251261003,0.2979368,mp-1021659,oxide,['Substituion'],
1,-23.83683575,-4.76736715,60.13646626561749,-0.6095769604999994,5,"{'Cu': 3.0, 'O': 2.0}",Cu3O2,False,"['Cu', 'O']",2,0.1603544269999997,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4/mmm', 'number': 139, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': '-I 4 2'}","['mp-1023877', 'mp-1023843', 'mp-1022728', 'mp-1097798', 'mp-1421507', 'mp-1617951', 'mp-1757094']",0.0,6.147635985624615,0.0014974,mp-1022728,oxide,['Substituion'],"{'G_Reuss': 25.0, 'G_VRH': 37.0, 'G_Voigt': 48.0, 'G_Voigt_Reuss_Hill': 37.0, 'K_Reuss': 91.0, 'K_VRH': 110.0, 'K_Voigt': 130.0, 'K_Voigt_Reuss_Hill': 110.0, 'elastic_anisotropy': 5.0, 'elastic_tensor': [[119.0, 64.0, 76.0, 0.0, 0.0, 0.0], [64.0, 119.0, 76.0, 0.0, 0.0, 0.0], [76.0, 76.0, 497.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 16.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 16.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 36.0]], 'homogeneous_poisson': 0.35, 'poisson_ratio': 0.35, 'universal_anisotropy': 5.0, 'elastic_tensor_original': [[119.08874361508126, 64.02563484843435, 76.31861128832702, 0.0, 0.0, 0.0], [64.04932992862221, 118.80072405465455, 76.1556307213322, 0.0, 0.0, 0.0], [76.71087561798385, 76.71087561798385, 496.5182253848844, 0.0, 0.0, 0.0], [-0.00016466653220541296, -4.847329375171295e-05, -0.00012818989532453458, 15.998246946349939, 0.0, 0.0], [2.058331652555776e-05, -8.422659789001255e-05, -5.833328570065183e-05, 0.0, 15.99820481971767, 0.0], [-0.06152273691656752, -0.06213880971833754, -0.06244604611991357, 0.0, 0.0, 36.27006167523901]], 'compliance_tensor': [[12.2, -6.0, -1.0, -0.0, 0.0, 0.0], [-6.0, 12.2, -1.0, 0.0, -0.0, -0.0], [-1.0, -1.0, 2.3, 0.0, 0.0, 0.0], [-0.0, 0.0, 0.0, 62.5, -0.0, -0.0], [0.0, -0.0, 0.0, -0.0, 62.5, 0.0], [0.0, -0.0, 0.0, -0.0, 0.0, 27.6]], 'warnings': [], 'nsites': 5}"
2,-43.7905557,-5.4738194625,78.99320619264125,-1.926961081458333,8,"{'Mg': 2.0, 'Cu': 2.0, 'O': 4.0}",MgCuO2,False,"['Mg', 'Cu', 'O']",3,0.07947528750000021,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4_1/amd', 'number': 141, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': 'I 4bw 2bw -1bw'}","['mp-1023883', 'mp-1023125', 'mp-1023848', 'mp-1023909', 'mp-1400529']",0.0,5.03879471707622,0.0052977,mp-1023125,oxide,['Substituion'],"{'G_Reuss': 52.0, 'G_VRH': 67.0, 'G_Voigt': 82.0, 'G_Voigt_Reuss_Hill': 67.0, 'K_Reuss': 58.0, 'K_VRH': 100.0, 'K_Voigt': 141.0, 'K_Voigt_Reuss_Hill': 100.0, 'elastic_anisotropy': 4.28, 'elastic_tensor': [[337.0, 130.0, 69.0, 0.0, 0.0, 0.0], [130.0, 337.0, 69.0, 0.0, 0.0, 0.0], [69.0, 69.0, 59.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 64.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 64.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 126.0]], 'homogeneous_poisson': 0.23, 'poisson_ratio': 0.23, 'universal_anisotropy': 4.28, 'elastic_tensor_original': [[337.2404880008512, 129.5706416353472, 53.84483344984774, 2.659990971951736e-05, -9.959966195729058e-05, 0.0], [129.57064163584258, 337.240488002137, 53.8448334500499, 8.077895577119573e-05, -3.806254966344148e-05, 0.0], [84.77976116295562, 84.77976116295562, 59.00384788100351, 1.5000035662420857e-05, -2.700006419235754e-05, 0.0], [0.0, 0.0, 3.179635007979479e-05, 63.67486542578043, -1.8865987033146657e-06, -1.317650134761953e-05], [-2.6353004731463217e-05, 0.0, -3.211115388515731e-05, 1.88659541335521e-06, 63.67486542578048, 0.0], [1.2622879902953514, -1.2622879902953488, 0.0, -3.2942956878479e-05, 3.14864161983528e-05, 126.22311009956738]], 'compliance_tensor': [[4.1, -0.8, -3.9, 0.0, -0.0, 0.0], [-0.8, 4.1, -3.9, -0.0, 0.0, 0.0], [-3.9, -3.9, 26.0, -0.0, -0.0, 0.0], [0.0, -0.0, -0.0, 15.7, 0.0, -0.0], [-0.0, 0.0, -0.0, 0.0, 15.7, -0.0], [0.0, 0.0, 0.0, -0.0, -0.0, 7.9]], 'warnings': [], 'nsites': 8}"
3,-68.2490896,-4.874934971428572,153.84032955524933,-0.7129602448214288,14,"{'Cu': 8.0, 'O': 6.0}",Cu4O3,False,"['Cu', 'O']",2,0.10854580642857137,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P4/nmm', 'number': 129, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': 'P 4ab 2ab -1ab'}","['mp-1023885', 'mp-1023912', 'mp-1023130', 'mp-1023849', 'mp-1399371', 'mp-1743006']",0.0,6.523456492608801,0.047568,mp-1023130,oxide,['Substituion'],
4,-50.73014814,-7.24716402,93.85233411198617,-2.869497329285714,7,"{'Pr': 2.0, 'Cu': 1.0, 'O': 4.0}",Pr2CuO4,False,"['Pr', 'Cu', 'O']",3,0.08025799428569602,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4/mmm', 'number': 139, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': '-I 4 2'}","['mp-987596', 'mp-988314', 'mp-988081', 'mp-10498', 'mp-1433948', 'mp-1595853', 'mp-1697561']",0.0,7.242829410074191,0.0152808,mp-10498,oxide,['High pressure experimental phase'],"{'G_Reuss': 28.0, 'G_VRH': 40.0, 'G_Voigt': 52.0, 'G_Voigt_Reuss_Hill': 40.0, 'K_Reuss': 157.0, 'K_VRH': 157.0, 'K_Voigt': 158.0, 'K_Voigt_Reuss_Hill': 157.0, 'elastic_anisotropy': 4.31, 'elastic_tensor': [[285.0, 69.0, 110.0, 0.0, 0.0, 0.0], [69.0, 285.0, 110.0, 0.0, 0.0, 0.0], [110.0, 110.0, 268.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 15.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 15.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 50.0]], 'homogeneous_poisson': 0.38, 'poisson_ratio': 0.38, 'universal_anisotropy': 4.31, 'elastic_tensor_original': [[284.850335285285, 69.462525897451, 115.27351959889704, 0.0, -8.79992268327166e-06, 0.0], [69.46252589745367, 284.850335285285, 115.27351959889704, -8.799922680550521e-06, -1.759265635549539e-05, 0.0], [105.5270224503967, 105.5270224503967, 267.6543302093307, 0.0, 0.0, 0.0], [0.0, -2.2623043100929933e-06, 0.0, 14.823432957230947, -2.2928543605594536e-07, -1.1311520991639897e-06], [-2.2623043100929933e-06, 0.0, 0.0, 2.2928543605600415e-07, 14.823432957230947, -1.131151226085915e-06], [0.49709173056600964, -0.4970917305670945, 0.0, -1.9999914727026208e-07, 2.405491503028859e-07, 49.70648316812433]], 'compliance_tensor': [[4.2, -0.4, -1.6, -0.0, 0.0, 0.0], [-0.4, 4.2, -1.6, 0.0, -0.0, 0.0], [-1.6, -1.6, 5.0, 0.0, 0.0, 0.0], [-0.0, 0.0, 0.0, 67.5, 0.0, 0.0], [0.0, -0.0, 0.0, 0.0, 67.5, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 20.1]], 'warnings': ['Contains a rare earth element'], 'nsites': 7}"
5,-20.48719302,-5.121798255,44.21362047308117,-0.9493621856249996,4,"{'Cu': 2.0, 'O': 2.0}",CuO,False,"['Cu', 'O']",2,0.0010805249999998878,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cccm', 'number': 66, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-C 2 2c'}","['mp-1064456', 'mp-1064677', 'mp-1064506', 'mp-1064530', 'mp-1066467', 'mp-1066515', 'mp-1066539', 'mp-1066605', 'mp-1067905', 'mp-1067950', 'mp-1067970', 'mp-1068100', 'mp-1440715', 'mp-1596150', 'mp-1590325', 'mp-1668419']",0.0,5.975002402200637,0.0006066,mp-1064456,oxide,"['Copper oxide', 'High pressure experimental phase', 'Tenorite', 'Copper oxide (1/1)']",
6,-33.81627032,-6.763254064,58.03562468331231,-2.4088120277500003,5,"{'La': 1.0, 'Cu': 1.0, 'O': 3.0}",LaCuO3,False,"['Cu', 'La', 'O']",3,0.02385150600000241,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pm-3m', 'number': 221, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-P 4 2 3'}","['mp-1076070', 'mp-1076072', 'mp-1076073', 'mp-1076075', 'mp-1428950', 'mp-1615481', 'mp-1733921']",0.0,7.165968549859712,0.0004336,mp-1076070,oxide,[],
7,-24.28945909,-4.857891818000001,51.9444260137228,-1.1712720194166664,5,"{'Mg': 1.0, 'Cu': 1.0, 'O': 3.0}",MgCuO3,False,"['Cu', 'Mg', 'O']",3,0.4967471433749999,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pm-3m', 'number': 221, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-P 4 2 3'}","['mp-1076318', 'mp-1076321', 'mp-1076317', 'mp-1076320', 'mp-1437138']",0.0,4.342774019810358,0.0227905,mp-1076317,oxide,[],
8,-121.63350633,-6.757417018333333,229.0481576569108,-2.43940528087963,18,"{'Sm': 4.0, 'Cu': 4.0, 'O': 10.0}",Sm2Cu2O5,False,"['Cu', 'O', 'Sm']",3,0.13384217513889496,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Ima2', 'number': 46, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'I 2 -2a'}","['mp-1076393', 'mp-1076406', 'mp-1076398', 'mp-1076407', 'mp-1379742', 'mp-1680936']",0.0,7.362964116342347,0.03067465,mp-1076393,oxide,[],
9,-95.47297857,-5.304054365,187.46626572699498,-1.6795507519907413,18,"{'Mg': 4.0, 'Cu': 4.0, 'O': 10.0}",Mg2Cu2O5,False,"['Cu', 'Mg', 'O']",3,0.17380387333333314,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Ima2', 'number': 46, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'I 2 -2a'}","['mp-1076527', 'mp-1076531', 'mp-1076547', 'mp-1076550', 'mp-1396297']",0.0,4.529862235682349,0.0332262,mp-1076527,oxide,[],
10,-101.80612526,-5.655895847777778,221.10118750802826,-1.9419329418055564,18,"{'Ca': 4.0, 'Cu': 4.0, 'O': 10.0}",Ca2Cu2O5,False,"['Ca', 'Cu', 'O']",3,0.13798425916666712,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Ima2', 'number': 46, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'I 2 -2a'}","['mp-1076548', 'mp-1076556', 'mp-1076564', 'mp-1076565', 'mp-1379577']",0.0,4.3145995691967745,0.0006533,mp-1076548,oxide,[],
11,-27.26156938,-5.452313876,58.61490434603682,-1.7471770100833333,5,"{'Sr': 1.0, 'Cu': 1.0, 'O': 3.0}",SrCuO3,False,"['Cu', 'O', 'Sr']",3,0.00956816487500145,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pm-3m', 'number': 221, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-P 4 2 3'}","['mp-1076711', 'mp-1076714', 'mp-1076712', 'mp-1076713', 'mp-1436545', 'mp-1615759', 'mp-1730771']",0.0,5.642249841707655,0.0259447,mp-1076711,oxide,[],
